nearest_node,,,Node_sampled,,,
x1,y1,theta1,x2,y2,theta2,time
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.007043839
-0.650545494,0.008510092,0.21339941,-0.551609993,0.022164443,0.051177389,0.008333683
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.009455204
-0.551609993,0.022164443,0.051177389,-0.451850366,0.018753093,-0.162222021,0.010492802
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.011522293
-0.451850366,0.018753093,-0.162222021,-0.355076091,-0.00570831,-0.375621431,0.012557983
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.016238213
-0.355076091,-0.00570831,-0.375621431,-0.265677503,-0.050110033,-0.589020841,0.017318964
-0.265677503,-0.050110033,-0.589020841,-0.178254811,-0.098285685,-0.375621431,0.018327236
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.019558191
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.020596981
-0.355076091,-0.00570831,-0.375621431,-0.259433637,-0.034276499,-0.162222021,0.021621704
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.02264905
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.023668051
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.024776936
-0.259433637,-0.034276499,-0.162222021,-0.159910407,-0.041941179,0.051177389,0.025876999
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.026968002
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.027997017
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.029406309
-0.650545494,-0.008510092,-0.21339941,-0.573691827,-0.030395114,-0.384118938,0.030424118
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.031443119
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.032489061
-0.451850366,0.018753093,-0.162222021,-0.352327136,0.011088414,0.051177389,0.033677816
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.034916639
-0.352327136,0.011088414,0.051177389,-0.253438178,0.024674964,0.264576799,0.036022186
-0.551609993,0.022164443,0.051177389,-0.452721034,0.035750994,0.264576799,0.037142038
-0.573691827,-0.030395114,-0.384118938,-0.484673766,-0.075554889,-0.597518348,0.038163662
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.03935051
-0.484673766,-0.075554889,-0.597518348,-0.407239027,-0.138542838,-0.810917758,0.040370464
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.041385651
-0.407239027,-0.138542838,-0.810917758,-0.344900572,-0.216501401,-1.024317168,0.042520523
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.043536186
-0.407239027,-0.138542838,-0.810917758,-0.379079634,-0.166938614,-0.725557994,0.044587374
-0.344900572,-0.216501401,-1.024317168,-0.300486495,-0.305893852,-1.237716579,0.045704126
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.046736956
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.04781127
-0.452721034,0.035750994,0.264576799,-0.358952617,0.069972397,0.477976209,0.049011946
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.050043583
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.051263809
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.052391291
-0.358952617,0.069972397,0.477976209,-0.27455871,0.123276139,0.691375619,0.053425789
-0.27455871,0.123276139,0.691375619,-0.198390294,0.188065211,0.71926791,0.054475069
-0.358952617,0.069972397,0.477976209,-0.27455871,0.123276139,0.691375619,0.055510521
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.056540728
-0.198390294,0.188065211,0.71926791,-0.129178576,0.259991275,0.93266732,0.057592869
-0.300486495,-0.305893852,-1.237716579,-0.259926964,-0.39709991,-1.024317168,0.05886054
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.060098171
-0.259926964,-0.39709991,-1.024317168,-0.20097153,-0.47764727,-0.810917758,0.061266422
-0.20097153,-0.47764727,-0.810917758,-0.128642894,-0.546629243,-0.708319342,0.062522888
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.063609123
-0.20097153,-0.47764727,-0.810917758,-0.138633076,-0.555605833,-1.024317168,0.064762831
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.066174984
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.067241669
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.068778992
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.07021904
-0.253438178,0.024674964,0.264576799,-0.159669761,0.058896368,0.477976209,0.071268082
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.072540283
-0.344900572,-0.216501401,-1.024317168,-0.315952782,-0.269014787,-1.152356815,0.073628187
-0.75,0,0,-0.650545494,-0.008510092,-0.21339941,0.075093746
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.076609373
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.078398943
-0.75,0,0,-0.650545494,0.008510092,0.21339941,0.079683065
